ega	hillclimb
0.0	2.380952380952381
42.53731343283582	159.7014925373134
34.58646616541353	105.26315789473684
0.0	6.842105263157896
0.0	73.64341085271317
37.95620437956204	91.97080291970804
0.0	38.764044943820224
0.0	73.19587628865979
39.66942148760331	89.25619834710744
0.0	79.7752808988764
0.0	53.00546448087432
0.0	38.547486033519554
0.0	39.52095808383233
39.66942148760331	103.30578512396693
0.0	44.62809917355372
39.39393939393939	145.45454545454547
0.0	44.37869822485207
0.0	136.36363636363635
36.95652173913043	36.95652173913043
0.0	91.66666666666666
3.0303030303030303	96.21212121212122
0.0	95.86776859504133
0.0	83.22147651006712
43.58974358974359	97.43589743589743
0.5882352941176471	36.470588235294116
0.0	82.75862068965517
0.0	87.09677419354838
42.53731343283582	63.43283582089553
0.9345794392523363	33.177570093457945
0.7407407407407408	40.74074074074074
0.5681818181818182	28.40909090909091
0.0	63.58695652173913
0.0	128.88888888888889
38.333333333333336	13.333333333333334
1.7857142857142856	63.69047619047619
0.0	25.64102564102564
0.0	37.22222222222222
1.1560693641618496	11.560693641618498
0.0	62.04379562043796
0.0	44.85294117647059
40.0	149.6
0.0	2.272727272727273
0.0	144.34782608695653
0.0	44.09448818897638
0.0	58.06451612903226
7.377049180327869	1.639344262295082
0.0	33.33333333333333
0.0	37.234042553191486
0.0	87.4074074074074
0.8658008658008658	1.7316017316017316
0.0	1.556420233463035
0.0	72.72727272727273
1.0256410256410255	35.8974358974359
0.0	32.58426966292135
2.127659574468085	69.68085106382979
1.4814814814814816	91.11111111111111
0.7692307692307693	83.07692307692308
40.51724137931034	99.13793103448276
0.0	73.41040462427746
0.0	146.66666666666666
1.098901098901099	8.241758241758241
0.0	36.72316384180791
0.0	104.3103448275862
0.0	36.19631901840491
0.0	37.07865168539326
0.0	68.10810810810811
0.0	34.68208092485549
35.714285714285715	77.85714285714286
0.0	37.278106508875744
0.0	36.19631901840491
0.0	43.609022556390975
44.18604651162791	105.4263565891473
38.46153846153847	86.92307692307692
0.0	85.29411764705883
0.0	74.30555555555556
1.1764705882352942	32.94117647058823
0.0	66.11111111111111
0.0	93.04347826086956
0.0	70.55555555555556
0.0	4.3478260869565215
0.0	7.6923076923076925
0.0	127.27272727272727
0.0	44.44444444444444
0.5882352941176471	67.64705882352942
0.0	49.122807017543856
0.0	85.38461538461539
40.15151515151515	143.1818181818182
0.0	13.414634146341465
0.0	38.93129770992366
2.2388059701492535	41.04477611940299
0.0	37.704918032786885
0.0	38.88888888888889
0.8	85.6
0.0	93.44262295081968
0.0	39.02439024390244
43.18181818181818	53.03030303030303
39.416058394160586	63.503649635036496
35.55555555555556	91.11111111111111
0.5154639175257731	42.78350515463917
0.0	79.33884297520662
