delta_ega	delta_hillclimb	delta_ega_modified
12.021857923497267	47.540983606557376	184
0.7575757575757576	52.27272727272727	189
1.4492753623188406	132.6086956521739	140
3.8461538461538463	24.175824175824175	189
31.03448275862069	73.5632183908046	175
1.1235955056179776	48.31460674157304	180
37.404580152671755	50.38167938931297	131
4.597701149425287	29.88505747126437	176
0.4	1.2	250
1.25	0.0	241
0.0	50.37037037037037	136
1.0752688172043012	64.51612903225806	189
36.92307692307693	44.61538461538462	186
40.98360655737705	138.52459016393445	170
80.74074074074075	89.62962962962962	188
10.37037037037037	72.5925925925926	181
0.7518796992481203	119.54887218045114	134
41.12903225806452	139.51612903225808	187
6.626506024096386	79.51807228915662	166
0.0	37.5	171
3.875968992248062	88.37209302325581	135
0.0	39.75903614457831	223
0.0	69.87951807228916	217
37.28813559322034	140.67796610169492	163
0.0	39.743589743589745	235
36.0	135.20000000000002	170
34.090909090909086	0.0	143
0.0	14.772727272727273	180
34.84848484848485	42.42424242424242	198
39.37007874015748	38.582677165354326	170
38.4	90.4	128
0.0	48.9051094890511	200
2.8169014084507045	79.5774647887324	143
3.0864197530864197	36.41975308641975	164
0.0	139.84375	187
4.195804195804196	104.19580419580419	211
1.0416666666666665	0.5208333333333333	204
39.02439024390244	40.65040650406504	134
4.651162790697675	60.46511627906976	134
1.7045454545454544	41.47727272727273	188
0.0	45.0261780104712	208
2.051282051282051	64.1025641025641	195
0.0	6.787330316742081	221
0.6024096385542169	37.34939759036144	171
3.2085561497326207	62.56684491978609	195
0.7352941176470588	47.05882352941176	146
0.0	33.146067415730336	178
0.5235602094240838	8.900523560209423	191
86.61417322834646	39.37007874015748	127
0.0	80.37974683544303	214
80.8695652173913	89.56521739130436	118
3.278688524590164	93.44262295081968	129
0.0	38.82978723404255	256
2.5380710659898478	72.08121827411168	266
33.13253012048193	73.49397590361446	224
0.43103448275862066	38.793103448275865	232
37.98449612403101	94.57364341085271	230
1.639344262295082	40.98360655737705	122
38.84892086330935	58.27338129496403	193
3.0303030303030303	75.75757575757575	166
0.5555555555555556	74.44444444444444	183
33.33333333333333	0.0	252
4.27807486631016	1.06951871657754	187
2.4	87.2	126
10.76923076923077	139.23076923076923	131
39.0625	129.6875	176
43.103448275862064	105.17241379310344	166
0.0	41.988950276243095	181
43.103448275862064	95.6896551724138	166
0.7575757575757576	95.45454545454545	185
0.7042253521126761	5.633802816901409	186
5.325443786982249	73.37278106508876	169
5.6000000000000005	39.2	182
1.3986013986013985	130.06993006993005	155
1.1627906976744187	88.95348837209302	176
32.369942196531795	64.73988439306359	179
36.15384615384615	46.15384615384615	183
40.0	99.1304347826087	166
0.0	85.79881656804734	224
1.5384615384615385	43.07692307692308	134
40.310077519379846	135.65891472868216	181
34.45945945945946	44.5945945945946	199
